,type,ent_uri,pred,val_pred,val_gold,abs,found,verif,reason,need discution
36,FP_new,Empress_Jit%C5%8D,birthYear,645,,"Empress Jitō (持統天皇, Jitō-tennō, 645 – 13 January 703) was the 41st monarch of Japan, according to the traditional order of succession. Jitō's reign spanned the years from 686 through 697. In the history of Japan, Jitō was the third of eight women to take on the role of empress regnant. The two female monarchs before Jitō were Suiko and Kōgyoku/Saimei. The five women sovereigns reigning after Jitō were Genmei, Genshō, Kōken/Shōtoku, Meishō, and Go-Sakuramachi.",TRUE,TRUE,,
109,FP_new,Empress_Jit%C5%8D,deathDate,0703-01-13,,"Empress Jitō (持統天皇, Jitō-tennō, 645 – 13 January 703) was the 41st monarch of Japan, according to the traditional order of succession. Jitō's reign spanned the years from 686 through 697. In the history of Japan, Jitō was the third of eight women to take on the role of empress regnant. The two female monarchs before Jitō were Suiko and Kōgyoku/Saimei. The five women sovereigns reigning after Jitō were Genmei, Genshō, Kōken/Shōtoku, Meishō, and Go-Sakuramachi.",TRUE,TRUE,,
111,FP_new,Empress_Jit%C5%8D,deathYear,703,,"Empress Jitō (持統天皇, Jitō-tennō, 645 – 13 January 703) was the 41st monarch of Japan, according to the traditional order of succession. Jitō's reign spanned the years from 686 through 697. In the history of Japan, Jitō was the third of eight women to take on the role of empress regnant. The two female monarchs before Jitō were Suiko and Kōgyoku/Saimei. The five women sovereigns reigning after Jitō were Genmei, Genshō, Kōken/Shōtoku, Meishō, and Go-Sakuramachi.",TRUE,TRUE,,
110,FN,Eric_Hobsbawm,birthName,,Eric John Ernest Hobsbawm,"Eric John Ernest Hobsbawm CH FRSL FBA (/ˈhɒbz.bɔːm/; 9 June 1917 – 1 October 2012) was a British historian of the rise of industrial capitalism, socialism, and nationalism. A life-long Marxist, his socio-political convictions influenced the character of his work. His best-known works include his tetralogy about what he called the ""long 19th century"" (The Age of Revolution: Europe 1789–1848, The Age of Capital: 1848–1875 and The Age of Empire: 1875–1914), The Age of Extremes on the short 20th century, and an edited volume that introduced the influential idea of ""invented traditions"".",TRUE,TRUE,,
112,FP_new,Eric_Parry,birthName,Eric Owen Parry,,"Eric Owen Parry RA (born 24 March 1952) is a British architect, designer, writer and educator. Parry is the founder and principal of Eric Parry Architects established in London in 1983. His built work includes the restoration and renewal of St Martin-in-the-Fields in London, the Holburne Museum in Bath, 50 New Bond Street, 23 Savile Row, One Eagle Place in Piccadilly, Aldermanbury Square by London Wall, 30 Finsbury Square in London, and the London Stock Exchange. His projects also include a number of residential developments. Eric Parry's architectural work and design has been shown internationally on major exhibitions, including the Royal Academy of Arts, the British School at Rome, and the 2012 Venice Biennale of Architecture.",TRUE,TRUE,,
610,FN,Eric_Parry,label,,Eric Parry,"Eric Owen Parry RA (born 24 March 1952) is a British architect, designer, writer and educator. Parry is the founder and principal of Eric Parry Architects established in London in 1983. His built work includes the restoration and renewal of St Martin-in-the-Fields in London, the Holburne Museum in Bath, 50 New Bond Street, 23 Savile Row, One Eagle Place in Piccadilly, Aldermanbury Square by London Wall, 30 Finsbury Square in London, and the London Stock Exchange. His projects also include a number of residential developments. Eric Parry's architectural work and design has been shown internationally on major exhibitions, including the Royal Academy of Arts, the British School at Rome, and the 2012 Venice Biennale of Architecture.",TRUE,TRUE,,
185,FN,Ernest_Lawson,birthName,,Ernest Lawson,"Ernest Lawson (March 22, 1873 – December 18, 1939) was a Canadian-American painter and exhibited his work at the Canadian Art Club and as a member of the American group The Eight, artists who formed a loose association in 1908 to protest the narrowness of taste and restrictive exhibition policies of the conservative, powerful National Academy of Design. Though Lawson was primarily a landscape painter, he also painted a small number of realistic urban scenes. His painting style is heavily influenced by the art of John Henry Twachtman, J. Alden Weir, and Alfred Sisley. Though considered a Canadian-American Impressionist, Lawson falls stylistically between Impressionism and realism.",TRUE,TRUE,,
184,FP_new,Ernesto_Paglia,birthName,Ernesto Paglia,,"Ernesto Paglia (born 9 April 1959, in São Paulo) is a Brazilian television journalist currently working for Rede Globo. Studied Journalism at the School of Communications and Arts at the University of São Paulo. He began working at 19, while still in the third year of Journalism School, (which requires 4 years in Brazil). Paglia was hired as reporter by Jovem Pan radio, but lasted only 3 months in this first job. He was fired after taking part in a strike led by the Journalist Union of S.Paulo in May 1979.",TRUE,TRUE,,
23,FN,Ethel_M%2E_Dell,label,,Ethel M.Dell,"Ethel May Dell Savage (2 August 1881 – 17 September 1939) was a British writer, known by her pen name, Ethel M. Dell, of over 30 popular romance novels and several short stories from 1911 to 1939.",FALSE,TRUE,,
407,FP_new,Eug%C3%A8ne_Dutuit,deathDate,1886-06-25,,"Eugène Dutuit (7 April 1807 – 25 June 1886) was a French politician and art collector who also wrote several works on art history. Dutuit was born in Marseille as the son of a cotton merchant, but grew up in Rouen, where he studied law and lived most of his life. He traveled to the Netherlands in 1826 where he visited museums and began collecting prints, six hundred of which he later donated in 1845 to the library of Rouen. He was elected member of the Academy of Sciences, Literature and Arts of Rouen in 1846 and became deputy mayor there from 1846 to 1874. In 1852 he and his brother Auguste and sister Heloise inherited their father's fortune.",TRUE,TRUE,,
33,FP_new,Evan_Jager,label,Evan Reese Jager,,"Evan Reese Jager (born March 8, 1989) is an American distance runner. He is the current North American record holder in the 3000 m steeplechase with a time of 8:00.45, which makes him the 13th fastest performer in the history of the event. He is sponsored by Nike and is coached by Jerry Schumacher in the Bowerman Track Club. On August 17, 2016 Jager won the silver medal at the 2016 Rio Olympics for the Steeplechase.",TRUE,FALSE,LCE,
164,FP_new,Evelyn_S%2E_Lieberman,birthName,Evelyn May Lieberman,,"Evelyn May Lieberman (née Simonowitz; July 9, 1944 – December 12, 2015) was an American public affairs professional who, during the Clinton administration, became the first woman to serve as White House Deputy Chief of Staff, and was the first United States Under Secretary of State for Public Diplomacy and Public Affairs. From 2002 to 2015, Lieberman worked for the Smithsonian Institution, most recently as Senior Advisor and Assistant to the Secretary for external relations.",TRUE,TRUE,,
2132,FP_new,Eyitope_Ogunbodede,label,Eyitope Ogungbenro Ogunbodede,,"Eyitope Ogungbenro Ogunbodede (born 23 January 1957) is a professor of Dentistry and the 11th substantial Vice Chancellor of Obafemi Awolowo University, Ile-Ife, Nigeria. He is also the founder of, the first dental museum in Africa commissioned in 2015 which contains relics of modern Nigerian dental history.",TRUE,FALSE,LCE,
175,FP_new,Faras_Hamdan,birthDate,1910-11-29,,"Faras Hamdan (Arabic: فارس حمدان; Hebrew: פארס חמדאן, 1910 – 29 November 1966) was an Israeli Arab politician who served as a member of the Knesset for the Agriculture and Development party between 1951 and 1959.",FALSE,FALSE,AC,
138,FP_new,Faras_Hamdan,birthDate,1910-11-10,,"Faras Hamdan (Arabic: فارس حمدان; Hebrew: פארס חמדאן, 1910 – 29 November 1966) was an Israeli Arab politician who served as a member of the Knesset for the Agriculture and Development party between 1951 and 1959.",FALSE,FALSE,AC,
61,FP_new,Faras_Hamdan,birthDate,1910-10-10,,"Faras Hamdan (Arabic: فارس حمدان; Hebrew: פארס חמדאן, 1910 – 29 November 1966) was an Israeli Arab politician who served as a member of the Knesset for the Agriculture and Development party between 1951 and 1959.",FALSE,FALSE,AC,
337,FP_new,Faras_Hamdan,birthName,Faras Hamdan,,"Faras Hamdan (Arabic: فارس حمدان; Hebrew: פארס חמדאן, 1910 – 29 November 1966) was an Israeli Arab politician who served as a member of the Knesset for the Agriculture and Development party between 1951 and 1959.",TRUE,TRUE,,
1262,FP_new,Faras_Hamdan,birthYear,1910,,"Faras Hamdan (Arabic: فارس حمدان; Hebrew: פארס חמדאן, 1910 – 29 November 1966) was an Israeli Arab politician who served as a member of the Knesset for the Agriculture and Development party between 1951 and 1959.",TRUE,TRUE,,
336,FP_new,Fern_Fitzgerald,birthName,Fern Fitzgerald,,"Fern Fitzgerald (born January 7, 1947 in Valley Stream, New York) is an American actress, best known for her recurring role as oil cartel businesswoman Marilee Stone in the CBS primetime soap opera Dallas from 1979 to 1989. She guest-starred in the number of other television series, like Archie Bunker's Place, Hill Street Blues, Hotel, Who's the Boss?, Life Goes On, and Seinfeld. In film, Fitzgerald appeared in The Beach Girls (1982). She also appeared in the original productions of Chicago and A Chorus Line on Broadway.",TRUE,TRUE,,
62,FP_new,Fernando_Rivera_y_Moncada,birthDate,1725-07-25,,"Fernando Javier Rivera y Moncada (c. 1725 – July 18, 1781) was a Mexican-born soldier of the Spanish Empire who served in The Californias (Las Californias), the far north-western frontier of New Spain. He participated in several early overland explorations and later served as third Governor of The Californias, from 1774–1777.",FALSE,FALSE,AC,
41,FP_new,Fernando_Rivera_y_Moncada,birthDate,1725-07-17,,"Fernando Javier Rivera y Moncada (c. 1725 – July 18, 1781) was a Mexican-born soldier of the Spanish Empire who served in The Californias (Las Californias), the far north-western frontier of New Spain. He participated in several early overland explorations and later served as third Governor of The Californias, from 1774–1777.",FALSE,FALSE,AC,
132,FP_new,Fernando_Rivera_y_Moncada,birthName,Fernando Javier Rivera y Moncada,,"Fernando Javier Rivera y Moncada (c. 1725 – July 18, 1781) was a Mexican-born soldier of the Spanish Empire who served in The Californias (Las Californias), the far north-western frontier of New Spain. He participated in several early overland explorations and later served as third Governor of The Californias, from 1774–1777.",TRUE,TRUE,,
2143,FP_new,Fernando_Rivera_y_Moncada,birthYear,1725,,"Fernando Javier Rivera y Moncada (c. 1725 – July 18, 1781) was a Mexican-born soldier of the Spanish Empire who served in The Californias (Las Californias), the far north-western frontier of New Spain. He participated in several early overland explorations and later served as third Governor of The Californias, from 1774–1777.",TRUE,TRUE,,
131,FP_new,Fernando_Rivera_y_Moncada,label,Fernando Javier Rivera y Moncada,,"Fernando Javier Rivera y Moncada (c. 1725 – July 18, 1781) was a Mexican-born soldier of the Spanish Empire who served in The Californias (Las Californias), the far north-western frontier of New Spain. He participated in several early overland explorations and later served as third Governor of The Californias, from 1774–1777.",TRUE,FALSE,LCE,
133,FP_new,Fikri_Demirel,birthName,Fikri Demirel,,"Fikri Demirel (born November 2, 1956) is a Turkish politician from the Justice and Development Party (AK Party) who serves as a Member of Parliament for the Yalova since 7 June 2015.",TRUE,TRUE,,
1114,FP_different,Flavio_Rog%C3%A9rio,label,Flavio Rogério Ribeiro,Flavio Rogério,"Flávio Rogério Ribeiro, sometimes known as just Flávio (born December 22, 1976 in Siqueira Campos) is a Brazilian former professional footballer who last played for Puebla of the Primera División de México. He is a Mexican naturalized citizen.",TRUE,FALSE,LCE,
373,FP_different,Flavio_Rog%C3%A9rio,label,Flávio Rogério Ribeiro,Flavio Rogério,"Flávio Rogério Ribeiro, sometimes known as just Flávio (born December 22, 1976 in Siqueira Campos) is a Brazilian former professional footballer who last played for Puebla of the Primera División de México. He is a Mexican naturalized citizen.",TRUE,FALSE,LCE,
66,FN,Frank_Agnew,label,,Frank Agnew,"Francis Thomas ""Frank"" Agnew (born August 18, 1964) is an American guitarist and songwriter, best known for being a member of punk rock band the Adolescents. Frank's brothers Rikk Agnew and Alfie Agnew, as well as his son Frank Agnew Jr., are also former Adolescents guitarists.",TRUE,TRUE,,
344,FP_new,Fred_Peacock,birthName,Fred Halliday Peacock,,"Frederick Halliday Peacock (November 23, 1916 – February 15, 2010) was a business man and former provincial level politician from Alberta, Canada. He served as a member of the Legislative Assembly of Alberta from 1971 until 1979.",FALSE,FALSE,ICE,
52,FP_new,Fred_Peacock,birthName,Frederick Halliday Peacock,,"Frederick Halliday Peacock (November 23, 1916 – February 15, 2010) was a business man and former provincial level politician from Alberta, Canada. He served as a member of the Legislative Assembly of Alberta from 1971 until 1979.",TRUE,TRUE,,
192,FP_new,Frederik_Jacobsen,birthName,Frederik Jacobsen,,"Frederik Jacobsen (12 September 1876 – 4 September 1922), was a Danish actor. He appeared in 27 films between 1911 and 1923.",TRUE,TRUE,,
478,FP_new,Frieda_Dalen,birthDate,1895-12-13,,"Frieda Dalen (13 December 1895 – 15 February 1995) was a Norwegian teacher and organizational leader. In 1946, she was a delegate to the first United Nations General Assembly at London and became the first woman to ever address the General Assembly.",TRUE,TRUE,,
365,FP_new,George_Cox_Jr,label,George Cox,,George Cox (23 August 1911 – 30 March 1985) was an English first-class cricketer who played for Sussex. He was also a footballer who played for Arsenal and Fulham.,TRUE,TRUE,,
79,FN,George_DeLeone,birthDate,,1948-05-09,"George DeLeone (May 9, 1948 – March 1, 2022) was an American football offensive line coach for Baylor University. Prior to rejoining Temple's staff, where he was once the offensive coordinator from 2006 through 2007, DeLeone was an offensive line coach for the Cleveland Browns. DeLeone was once the head coach at Southern Connecticut State University (SCSU) from 1976 to 1979, where he compiled a record of 15 wins and 24 losses. DeLeone served in assistant coach & coordinator positions at Southern Connecticut, Rutgers, Holy Cross, Syracuse, Ole Miss, Temple, UConn, and Baylor.",TRUE,TRUE,,
72,FN,George_DeLeone,birthYear,,1948,"George DeLeone (May 9, 1948 – March 1, 2022) was an American football offensive line coach for Baylor University. Prior to rejoining Temple's staff, where he was once the offensive coordinator from 2006 through 2007, DeLeone was an offensive line coach for the Cleveland Browns. DeLeone was once the head coach at Southern Connecticut State University (SCSU) from 1976 to 1979, where he compiled a record of 15 wins and 24 losses. DeLeone served in assistant coach & coordinator positions at Southern Connecticut, Rutgers, Holy Cross, Syracuse, Ole Miss, Temple, UConn, and Baylor.",TRUE,TRUE,,
332,FN,George_DeLeone,deathDate,,2022-03-01,"George DeLeone (May 9, 1948 – March 1, 2022) was an American football offensive line coach for Baylor University. Prior to rejoining Temple's staff, where he was once the offensive coordinator from 2006 through 2007, DeLeone was an offensive line coach for the Cleveland Browns. DeLeone was once the head coach at Southern Connecticut State University (SCSU) from 1976 to 1979, where he compiled a record of 15 wins and 24 losses. DeLeone served in assistant coach & coordinator positions at Southern Connecticut, Rutgers, Holy Cross, Syracuse, Ole Miss, Temple, UConn, and Baylor.",TRUE,TRUE,,
334,FN,George_DeLeone,deathYear,,2022,"George DeLeone (May 9, 1948 – March 1, 2022) was an American football offensive line coach for Baylor University. Prior to rejoining Temple's staff, where he was once the offensive coordinator from 2006 through 2007, DeLeone was an offensive line coach for the Cleveland Browns. DeLeone was once the head coach at Southern Connecticut State University (SCSU) from 1976 to 1979, where he compiled a record of 15 wins and 24 losses. DeLeone served in assistant coach & coordinator positions at Southern Connecticut, Rutgers, Holy Cross, Syracuse, Ole Miss, Temple, UConn, and Baylor.",TRUE,TRUE,,
333,FP_new,Georgi_Yumatov,birthName,Georgi Aleksandrovich Yumatov,,"Georgi Aleksandrovich Yumatov (Russian: Гeopгий Алeксандpoвич Юматов, IPA: [ɡʲɪˈorɡʲɪj jʊˈmatəf]; 11 March 1926 – 6 October 1997) was a Soviet and Russian film actor. He appeared in 72 films between 1946 and 1994. He was a People’s Artist of the RSFSR (1982).",TRUE,TRUE,,
335,FP_new,Gertrude_Poe,birthName,Gertrude Louise Poe,,"Gertrude Louise Poe (September 21, 1915 – July 13, 2017) was an American journalist, lawyer, real estate agent, insurance agent, and radio broadcaster who served as the editor of Laurel Leader in Laurel, Maryland from 1939 to 1980. She was known as ""Maryland's First Lady of Journalism.""",TRUE,TRUE,,
17,FP_new,Ginger_Lees,deathYear,1982,,"Harry Riley ""Ginger"" Lees (1905-1982) was a former international motorcycle speedway rider who rode in the first ever Speedway World Championship final in 1936. He was born in Bury, England.",TRUE,TRUE,,
40,FP_new,Giona_Terzo_Ortenzi,birthDate,1996-05-11,,"Giona Terzo Ortenzi (born 11 May 1996) is an Italian ice dancer. With partner Sara Ghislandi, he has competed at two World Junior Championships, qualifying for the free dance in 2016.",TRUE,TRUE,,
243,FP_new,Giona_Terzo_Ortenzi,birthYear,1996,,"Giona Terzo Ortenzi (born 11 May 1996) is an Italian ice dancer. With partner Sara Ghislandi, he has competed at two World Junior Championships, qualifying for the free dance in 2016.",TRUE,TRUE,,
135,FP_new,Golam_Samdani_Koraishi,birthName,Golam Samdani Quraishy,,Golam Samdani Quraishy (Bengali: গোলাম সামদানী কোরায়শী; 5 April 1929 – 11 October 1991) was a Bangladeshi poet and writer. He was given Independence Day Award posthumously in 2017 by the Government of Bangladesh.,TRUE,TRUE,,
136,FP_new,Golam_Samdani_Koraishi,label,Golam Samdani Quraishy,,Golam Samdani Quraishy (Bengali: গোলাম সামদানী কোরায়শী; 5 April 1929 – 11 October 1991) was a Bangladeshi poet and writer. He was given Independence Day Award posthumously in 2017 by the Government of Bangladesh.,TRUE,FALSE,WV,
315,FP_new,Gordon_Persons,birthName,Seth Gordon Persons,,"Seth Gordon Persons (February 5, 1902 – May 29, 1965) was an American Democratic politician who was the 43rd Governor of Alabama from 1951 to 1955. He was born and died in Montgomery, Alabama. The Dauphin Island Bridge south of Mobile is formally named for him. The Gordon Persons Building is a six floor, 60,000 square foot state government office building in Montgomery. After leaving office as governor, Persons never sought statewide public office again, but he made an unsuccessful run for circuit judge late in life.",TRUE,TRUE,,
51,FN,Gordon_Persons,label,,Gordon Persons,"Seth Gordon Persons (February 5, 1902 – May 29, 1965) was an American Democratic politician who was the 43rd Governor of Alabama from 1951 to 1955. He was born and died in Montgomery, Alabama. The Dauphin Island Bridge south of Mobile is formally named for him. The Gordon Persons Building is a six floor, 60,000 square foot state government office building in Montgomery. After leaving office as governor, Persons never sought statewide public office again, but he made an unsuccessful run for circuit judge late in life.",TRUE,TRUE,,
197,FP_new,Gudrun_Brendel-Fischer,birthName,Gudrun Brendel-Fischer,,"Gudrun Brendel-Fischer (born June 17, 1959 in Bayreuth, Germany) is a German politician, representative of the Christian Social Union of Bavaria. She is a representative of the district of Bayreuth in the Bavarian State Parliament.",TRUE,TRUE,,
196,FP_new,Gudrun_Dorothea_R%C3%A6der,birthName,Gudrun Dorothea Ræder,,"Gudrun Dorothea Ræder (née Martius; 21 April 1908 – 26 September 1998) was a Norwegian diplomat. She was the first female Norwegian diplomat, serving at the legation in London.",TRUE,TRUE,,
520,FN,Gustav_Vigeland,birthName,,Adolf Gustav Thorsen,"Gustav Vigeland (11 April 1869 – 12 March 1943), born as Adolf Gustav Thorsen, was a Norwegian sculptor. Gustav Vigeland occupies a special position among Norwegian sculptors, both in the power of his creative imagination and in his productivity. He is most associated with the Vigeland installation (Vigelandsanlegget) in Frogner Park, Oslo. He was also the designer of the Nobel Peace Prize medal.",TRUE,TRUE,,
348,FP_different,Gustav_Vigeland,birthName,Gustav Gustav Thorsen,Adolf Gustav Thorsen,"Gustav Vigeland (11 April 1869 – 12 March 1943), born as Adolf Gustav Thorsen, was a Norwegian sculptor. Gustav Vigeland occupies a special position among Norwegian sculptors, both in the power of his creative imagination and in his productivity. He is most associated with the Vigeland installation (Vigelandsanlegget) in Frogner Park, Oslo. He was also the designer of the Nobel Peace Prize medal.",FALSE,FALSE,GLS,
115,FP_new,Hachisuka_Iemasa,birthDate,1558-02-02,,"Hachisuka Iemasa (蜂須賀 家政, 1558 – February 2, 1639) was a Japanese daimyō of the early Edo period. Iemasa, the son of Hachisuka Masakatsu or Koroku, was the founder of the Tokushima Domain. He was one of some daimyo who have bad terms with Ishida Mitsunari. His father was a retainer of Hideyoshi. But later Iemasa served both Oda Nobunaga and Toyotomi Hideyoshi, taking part in the Battle of Yamazaki 1582, Invasion of Shikoku 1585 and Hideyoshi's Korean campaign 1592-1598.",FALSE,FALSE,AC,
674,FP_new,Hachisuka_Iemasa,birthDate,1558-58-58,,"Hachisuka Iemasa (蜂須賀 家政, 1558 – February 2, 1639) was a Japanese daimyō of the early Edo period. Iemasa, the son of Hachisuka Masakatsu or Koroku, was the founder of the Tokushima Domain. He was one of some daimyo who have bad terms with Ishida Mitsunari. His father was a retainer of Hideyoshi. But later Iemasa served both Oda Nobunaga and Toyotomi Hideyoshi, taking part in the Battle of Yamazaki 1582, Invasion of Shikoku 1585 and Hideyoshi's Korean campaign 1592-1598.",FALSE,FALSE,IAC,
34,FP_new,Hachisuka_Iemasa,birthDate,1558-02-58,,"Hachisuka Iemasa (蜂須賀 家政, 1558 – February 2, 1639) was a Japanese daimyō of the early Edo period. Iemasa, the son of Hachisuka Masakatsu or Koroku, was the founder of the Tokushima Domain. He was one of some daimyo who have bad terms with Ishida Mitsunari. His father was a retainer of Hideyoshi. But later Iemasa served both Oda Nobunaga and Toyotomi Hideyoshi, taking part in the Battle of Yamazaki 1582, Invasion of Shikoku 1585 and Hideyoshi's Korean campaign 1592-1598.",FALSE,FALSE,IAC,
594,FP_new,Hachisuka_Iemasa,birthYear,1558,,"Hachisuka Iemasa (蜂須賀 家政, 1558 – February 2, 1639) was a Japanese daimyō of the early Edo period. Iemasa, the son of Hachisuka Masakatsu or Koroku, was the founder of the Tokushima Domain. He was one of some daimyo who have bad terms with Ishida Mitsunari. His father was a retainer of Hideyoshi. But later Iemasa served both Oda Nobunaga and Toyotomi Hideyoshi, taking part in the Battle of Yamazaki 1582, Invasion of Shikoku 1585 and Hideyoshi's Korean campaign 1592-1598.",TRUE,TRUE,,
1026,FN,Hanno_M%C3%BCller-Brachmann,birthYear,,1970,"Hanno Müller-Brachmann (born 1970) is a German bass-baritone who made an international career in both opera and concert. A member of the Berlin State Opera from 1998 to 2011, he first sang Mozart roles such as Papageno and Figaro, and created roles in premieres such as Mephistopheles in Dusapin's Faustus, the Last Night in 2006.",TRUE,TRUE,,
35,FP_new,Harold_Soref,birthName,Harold Benjamin Soref,,"Harold Benjamin Soref (18 December 1916—14 March 1993) was a Conservative Member of Parliament (MP) in the United Kingdom for Ormskirk, Lancashire, first elected at the 1970 general election. He subsequently lost the seat to Labour in February 1974. Soref was a leading member of the Conservative Monday Club.",TRUE,TRUE,,
1567,FN,Harrison_W%2E_Call,birthYear,,1898,"Harrison W. Call (January 5, 1898 - August 29, 1975) served in the California State Assembly for the 29th and 27th district from 1937 to 1947. He served in the United States Army in the Mexican Expedition (1916–1917) and World War I.",TRUE,TRUE,,
154,FP_new,Harrison_W%2E_Call,deathDate,1975-08-29,,"Harrison W. Call (January 5, 1898 - August 29, 1975) served in the California State Assembly for the 29th and 27th district from 1937 to 1947. He served in the United States Army in the Mexican Expedition (1916–1917) and World War I.",FALSE,TRUE,,
205,FN,Harrison_W%2E_Call,deathYear,,1975,"Harrison W. Call (January 5, 1898 - August 29, 1975) served in the California State Assembly for the 29th and 27th district from 1937 to 1947. He served in the United States Army in the Mexican Expedition (1916–1917) and World War I.",TRUE,TRUE,,
1376,FN,Harry_Livermore,birthYear,,1908,Sir Harry Livermore (1908–1989) was a Liverpool solicitor and local politician who served as Lord Mayor of Liverpool.,TRUE,TRUE,,
206,FN,Harry_Livermore,deathYear,,1989,Sir Harry Livermore (1908–1989) was a Liverpool solicitor and local politician who served as Lord Mayor of Liverpool.,TRUE,TRUE,,
460,FN,Harvey_Morgan,birthName,,Harvey Bland Morgan,"Harvey Bland Morgan (born August 18, 1930) is an American politician. From 1980–2012 he served in the Virginia House of Delegates, representing the 98th district on the Middle Peninsula. He is a member of the Republican Party.",TRUE,TRUE,,
461,FP_new,Henry_Bourne_Joy,birthName,Henry Bourne Joy,,"Henry Bourne Joy (November 23, 1864 – November 6, 1936) was an American businessman and President of the Packard Motor Car Company. He was a major developer of automotive activities as well as being a social activist. Joy was also a prominent figure on both sides of prohibition during that turbulent era.",TRUE,TRUE,,
812,FP_new,Henry_Cass,birthName,Henry Cass,,"Henry Cass (24 June 1903 – 15 March 1989) was a British director, particularly prolific in film in the horror and comedy genres. Previously an actor, he was also a prolific stage director of classical theatre at the Old Vic in the 1930s. In 1923, Lee DeForest filmed Cass for a short film Henry Cass Demonstration Film made in DeForest's Phonofilm sound-on-film process. The film was previewed at the Engineers Society of New York on 12 April 1923, and premiered at the Rivoli Theatre in New York on 15 April 1923 with 17 other short Phonofilms. He was married to the actress Joan Hopkins.",TRUE,TRUE,,
463,FN,Henry_George_Flanagan,birthDate,,1861-01-22,"Henry George Flanagan (22 January 1861 – 23 October 1919) was a South African-born plant collector, traveller, botanist and farmer. He developed a renowned garden for native South African trees and rare exotic plants. A rare endemic of Eastern Cape, Greyia flanaganii is one of several plants named in his honour.",TRUE,TRUE,,
421,FN,Henry_George_Flanagan,birthYear,,1861,"Henry George Flanagan (22 January 1861 – 23 October 1919) was a South African-born plant collector, traveller, botanist and farmer. He developed a renowned garden for native South African trees and rare exotic plants. A rare endemic of Eastern Cape, Greyia flanaganii is one of several plants named in his honour.",TRUE,TRUE,,
2036,FN,Henry_George_Flanagan,deathDate,,1919-10-23,"Henry George Flanagan (22 January 1861 – 23 October 1919) was a South African-born plant collector, traveller, botanist and farmer. He developed a renowned garden for native South African trees and rare exotic plants. A rare endemic of Eastern Cape, Greyia flanaganii is one of several plants named in his honour.",TRUE,TRUE,,
2038,FN,Henry_George_Flanagan,deathYear,,1919,"Henry George Flanagan (22 January 1861 – 23 October 1919) was a South African-born plant collector, traveller, botanist and farmer. He developed a renowned garden for native South African trees and rare exotic plants. A rare endemic of Eastern Cape, Greyia flanaganii is one of several plants named in his honour.",TRUE,TRUE,,
2037,FP_new,Hernando_Molina_Ara%C3%BAjo,birthName,Hernando César Molina Araújo,,"Hernando César Molina Araújo (born August 28, 1961 in Valledupar) is a Colombian politician. Son of Hernando Molina Céspedes and Consuelo Araújo, he studied at the Colegio Nacional Loperena in Valledupar and later studied Law in the, but dropped out. He declares himself a self-taught man. Molina was governor of the Colombian Department of Cesar for the period 2004–2007, a term which he did not complete due to his involvement in the Parapolitica scandal. he was called to testify on May 17, 2007 at the Office of the Attorney General of Colombia.",TRUE,TRUE,,
2039,FP_new,Hernando_Molina_Ara%C3%BAjo,label,Hernando César Molina Araújo,,"Hernando César Molina Araújo (born August 28, 1961 in Valledupar) is a Colombian politician. Son of Hernando Molina Céspedes and Consuelo Araújo, he studied at the Colegio Nacional Loperena in Valledupar and later studied Law in the, but dropped out. He declares himself a self-taught man. Molina was governor of the Colombian Department of Cesar for the period 2004–2007, a term which he did not complete due to his involvement in the Parapolitica scandal. he was called to testify on May 17, 2007 at the Office of the Attorney General of Colombia.",TRUE,FALSE,LCE,
18,FP_new,Hernando_Molina_Ara%C3%BAjo,label,Hernando Molina Araújo,,"Hernando César Molina Araújo (born August 28, 1961 in Valledupar) is a Colombian politician. Son of Hernando Molina Céspedes and Consuelo Araújo, he studied at the Colegio Nacional Loperena in Valledupar and later studied Law in the, but dropped out. He declares himself a self-taught man. Molina was governor of the Colombian Department of Cesar for the period 2004–2007, a term which he did not complete due to his involvement in the Parapolitica scandal. he was called to testify on May 17, 2007 at the Office of the Attorney General of Colombia.",TRUE,FALSE,LCE,
805,FP_new,In%C5%8D_Tadataka,birthDate,1745-02-11,,"Inō Tadataka (伊能 忠敬, February 11, 1745 - May 17, 1818) was a Japanese surveyor and cartographer. He is known for completing the first map of Japan using modern surveying techniques.",FALSE,TRUE,,
1627,FP_new,In%C5%8D_Tadataka,deathDate,1818-05-17,,"Inō Tadataka (伊能 忠敬, February 11, 1745 - May 17, 1818) was a Japanese surveyor and cartographer. He is known for completing the first map of Japan using modern surveying techniques.",FALSE,TRUE,,
2,FP_new,Ines_Castellani_Fantoni_Benaglio,birthYear,1849,,"Ines Castellani Fantoni Benaglio, also known by the pseudonym of Memini (1849 Pavia - 6 May 1897 Azzate), was an Italian writer. She lived in Florence and Milan. She made her debut as a writer in 1880, with Estella and Nemorino. She wrote for magazines, including Perseveranza, La Gazzetta Provinciale and Vita Intimate. She wrote numerous novels, which attracted the attention of Anna Radius Zuccari, and they were friends. She married the poet Luigi Benaglio.",TRUE,TRUE,,
