,type,ent_uri,pred,val_pred,val_gold,abs,found,verif,reason,need discution,
339,FP_new,Friedrich_Armand_Strubberg,birthName,Fredèric Armand Strubberg,,"Friedrich Armand Strubberg (born Fredèric Armand Strubberg, March 18, 1806 – April 3, 1889) was a merchant, physician, and pioneer colonist. Born in Germany, Strubberg spent many decades in the United States. In Texas, he used the pseudonym Dr. Friedrich Schubbert. He designed the Vereins Kirche in Fredericksburg. Strubberg spent the last few decades of his life as an author in Germany.",TRUE,TRUE,,,
5178,FP_new,Friedrich_Armand_Strubberg,birthName,Friedrich Armand Strubberg,,"Friedrich Armand Strubberg (born Fredèric Armand Strubberg, March 18, 1806 – April 3, 1889) was a merchant, physician, and pioneer colonist. Born in Germany, Strubberg spent many decades in the United States. In Texas, he used the pseudonym Dr. Friedrich Schubbert. He designed the Vereins Kirche in Fredericksburg. Strubberg spent the last few decades of his life as an author in Germany.",TRUE,FALSE,WV,,
337,FN,Friedrich_Armand_Strubberg,label,,Friedrich Armand Strubberg,"Friedrich Armand Strubberg (born Fredèric Armand Strubberg, March 18, 1806 – April 3, 1889) was a merchant, physician, and pioneer colonist. Born in Germany, Strubberg spent many decades in the United States. In Texas, he used the pseudonym Dr. Friedrich Schubbert. He designed the Vereins Kirche in Fredericksburg. Strubberg spent the last few decades of his life as an author in Germany.",TRUE,TRUE,,,
1389,FP_new,Froma_Walsh,birthYear,1942,,Froma Walsh (born 1942) is an American clinical psychologist and family therapist. She is the co-founder and co-director of the Chicago Center for Family Health and the Mose and Sylvia Firestone Professor Emerita at the University of Chicago.,TRUE,TRUE,,,
3935,FP_different,Gabriel_Ceretta,label,Gabriel Ceretta Jung,Gabriel Ceretta,Gabriel Ceretta Jung (born 12 June 1997) is a Brazilian handball player for SCDR Anaitasuna and the Brazilian national team. He participated at the 2017 World Men's Handball Championship.,TRUE,FALSE,LCE,,
143,FP_different,Gail_Huff,birthName,Gail Huff Brown,Gail Huff,"Gail Huff Brown (née Huff; born February 9, 1962) is an American broadcast journalist. Huff most recently worked as a special correspondent and news contributor for WWJE-DT. Huff also previously worked with WJLA-TV, an ABC station, in Washington, D.C. for several years, after seventeen years for WCVB-TV, the ABC affiliate in Boston, Massachusetts. She is the wife of former U.S. ambassador and Senator Scott Brown.",TRUE,FALSE,LCE,,
1422,FN,Gail_Huff,birthName,,Gail Huff,"Gail Huff Brown (née Huff; born February 9, 1962) is an American broadcast journalist. Huff most recently worked as a special correspondent and news contributor for WWJE-DT. Huff also previously worked with WJLA-TV, an ABC station, in Washington, D.C. for several years, after seventeen years for WCVB-TV, the ABC affiliate in Boston, Massachusetts. She is the wife of former U.S. ambassador and Senator Scott Brown.",TRUE,TRUE,,,
152,FP_new,Garath_Archer,birthDate,1974-12-15,,"Garath Archer (born 15 December 1974 in Durham) is a former English rugby union footballer. He played for both Bristol Rugby and the Newcastle Falcons.Garath was an apprentice carpenter. In total Archer earned 21 caps for England, including games at the 1999 World Cup. At club level he began his career at Newcastle Falcons and made 20 appearances for them as they won the 1997-98 Premiership. He missed Newcastle's victory in the 2001 Anglo-Welsh Cup final but started the final as they won the tournament again in 2004.",TRUE,TRUE,,,
153,FP_new,Garath_Archer,birthYear,1974,,"Garath Archer (born 15 December 1974 in Durham) is a former English rugby union footballer. He played for both Bristol Rugby and the Newcastle Falcons.Garath was an apprentice carpenter. In total Archer earned 21 caps for England, including games at the 1999 World Cup. At club level he began his career at Newcastle Falcons and made 20 appearances for them as they won the 1997-98 Premiership. He missed Newcastle's victory in the 2001 Anglo-Welsh Cup final but started the final as they won the tournament again in 2004.",TRUE,TRUE,,,
136,FP_new,Gareon_Conley,birthDate,1995-06-29,,"Gareon Conley (born June 29, 1995) is an American football cornerback who is a free agent. He played college football at Ohio State and was drafted by the Oakland Raiders in the first round of the 2017 NFL Draft.",TRUE,TRUE,,,
137,FP_new,Gareon_Conley,birthYear,1995,,"Gareon Conley (born June 29, 1995) is an American football cornerback who is a free agent. He played college football at Ohio State and was drafted by the Oakland Raiders in the first round of the 2017 NFL Draft.",TRUE,TRUE,,,
988,FP_new,Garrett_Mason,birthName,Garrett Paul Mason,,"Garrett Paul Mason (born June 19, 1985) is an American politician from Maine. A Republican, Mason formerly served in the Maine State Senate from the 22nd District, representing part of Androscoggin County, including his residence in Lisbon Falls. In 2003, he graduated from Calvary Christian Academy in Turner. In 2006, Mason graduated from Pensacola Christian College in Pensacola, Florida with a B.A. in marketing. He also completed graduate work at Southern New Hampshire University and the Art Institute of Pittsburgh. After college, Mason worked for the AA baseball team Portland Sea Dogs and as director of administration for the QJMHL hockey team Lewiston Maineiacs. He also received at honorary doctorate in Humanities from Pensacola Christian College in 2018.",TRUE,TRUE,,,
112,FP_new,Gary_Cherone,birthName,Gary Francis Caine Cherone,,"Gary Francis Caine Cherone (/ʃəˈroʊn/ shə-ROHN; born July 26, 1961) is an American rock singer and songwriter. Cherone is known for his work as the lead vocalist of the Boston rock group Extreme and for his short stint as the third lead vocalist for Van Halen. He has also released solo recordings. In 2007, he reunited with Extreme.",TRUE,TRUE,,,
342,FP_new,Gavin_Wheeldon,birthName,Gavin Wheeldon,,"Gavin Wheeldon (born 12 May 1976) is a British businessman and entrepreneur from the Manchester area who is best known for his appearances on the reality television shows Dragon's Den and The Secret Millionaire; and a controversial contract his former company, Applied Language Solutions (ALS), signed with the United Kingdom's Ministry of Justice. After selling it to Capita, he founded Purple WiFi, a company that provides free WiFi platforms to businesses for customer relationship management.",TRUE,TRUE,,,
269,FP_new,Gebhard_Truchsess_von_Waldburg,birthDate,1547-11-10,,"Gebhard Truchsess von Waldburg (10 November 1547 – 31 May 1601) was Archbishop-Elector of Cologne. After pursuing an ecclesiastical career, he won a close election in the cathedral chapter of Cologne over Ernst of Bavaria. After his election, he fell in love with and later married Agnes von Mansfeld-Eisleben, a Protestant Canoness at the Abbey of Gerresheim. His conversion to Calvinism and announcement of religious parity in the Electorate triggered the Cologne War.",TRUE,TRUE,,,
271,FP_new,Gebhard_Truchsess_von_Waldburg,birthYear,1547,,"Gebhard Truchsess von Waldburg (10 November 1547 – 31 May 1601) was Archbishop-Elector of Cologne. After pursuing an ecclesiastical career, he won a close election in the cathedral chapter of Cologne over Ernst of Bavaria. After his election, he fell in love with and later married Agnes von Mansfeld-Eisleben, a Protestant Canoness at the Abbey of Gerresheim. His conversion to Calvinism and announcement of religious parity in the Electorate triggered the Cologne War.",TRUE,TRUE,,,
270,FP_new,Gebhard_Truchsess_von_Waldburg,deathDate,1601-05-31,,"Gebhard Truchsess von Waldburg (10 November 1547 – 31 May 1601) was Archbishop-Elector of Cologne. After pursuing an ecclesiastical career, he won a close election in the cathedral chapter of Cologne over Ernst of Bavaria. After his election, he fell in love with and later married Agnes von Mansfeld-Eisleben, a Protestant Canoness at the Abbey of Gerresheim. His conversion to Calvinism and announcement of religious parity in the Electorate triggered the Cologne War.",TRUE,TRUE,,,
272,FP_new,Gebhard_Truchsess_von_Waldburg,deathYear,1601,,"Gebhard Truchsess von Waldburg (10 November 1547 – 31 May 1601) was Archbishop-Elector of Cologne. After pursuing an ecclesiastical career, he won a close election in the cathedral chapter of Cologne over Ernst of Bavaria. After his election, he fell in love with and later married Agnes von Mansfeld-Eisleben, a Protestant Canoness at the Abbey of Gerresheim. His conversion to Calvinism and announcement of religious parity in the Electorate triggered the Cologne War.",TRUE,TRUE,,,
262,FP_new,Gennady_Semenovich_Makanin,deathYear,2017,,"Gennady (or Gennadii or Gennadiy) Semenovich Makanin (1938–2017) was a Russian mathematician, awarded the 2010 I. M. Vinogradov Prize for a series of papers on the problem of algorithmically recognizing the solvability of arbitrary equations in free groups and semigroups.",TRUE,TRUE,,,
261,FP_new,Gennady_Semenovich_Makanin,label,Gennady Makanin,,"Gennady (or Gennadii or Gennadiy) Semenovich Makanin (1938–2017) was a Russian mathematician, awarded the 2010 I. M. Vinogradov Prize for a series of papers on the problem of algorithmically recognizing the solvability of arbitrary equations in free groups and semigroups.",TRUE,FALSE,ICE,,
2566,FP_new,Gennady_Semenovich_Makanin,label,Gennady,,"Gennady (or Gennadii or Gennadiy) Semenovich Makanin (1938–2017) was a Russian mathematician, awarded the 2010 I. M. Vinogradov Prize for a series of papers on the problem of algorithmically recognizing the solvability of arbitrary equations in free groups and semigroups.",TRUE,FALSE,ICE,,
1236,FP_new,George_Barrie,birthName,George Barrie,,"George Barrie (9 February 1912 – 16 November 2002) was the owner and CEO of Fabergé Inc. from 1964 to 1984. He was nominated for two Oscars for Best Original Song and created the cologne Brut. Though not one of the first to use celebrities to advertise, he was one of those that made it commonplace.",TRUE,TRUE,,,
58,FN,George_Dunham,birthName,,George William Dunham,"George William Dunham (born June 28, 1965); is an American radio personality and member of the Musers in Dallas, Texas. Dunham co-hosts the show with long-time friend and college roommate Craig Miller, along with their co-host Gordon Keith. A 1988 graduate of the University of North Texas, Dunham served as the football play-by-play commentator for the school's Mean Green Radio Network from 1994 until 2014. His first on-air experience was at KNTU, the University of North Texas campus radio station. His son was offered and accepted a football scholarship to attend UNT beginning in fall of 2010. Dunham talks about his past and playing football in junior high against hated rival Fredericksburg when he played special teams at Llano Junior High. Dunham's junior high football coach commonly refer",TRUE,TRUE,,,
2918,FP_new,George_Dunham,label,George William Dunham,,"George William Dunham (born June 28, 1965); is an American radio personality and member of the Musers in Dallas, Texas. Dunham co-hosts the show with long-time friend and college roommate Craig Miller, along with their co-host Gordon Keith. A 1988 graduate of the University of North Texas, Dunham served as the football play-by-play commentator for the school's Mean Green Radio Network from 1994 until 2014. His first on-air experience was at KNTU, the University of North Texas campus radio station. His son was offered and accepted a football scholarship to attend UNT beginning in fall of 2010. Dunham talks about his past and playing football in junior high against hated rival Fredericksburg when he played special teams at Llano Junior High. Dunham's junior high football coach commonly refer",TRUE,FALSE,LCE,,
4460,FP_new,George_Dunham,label,George Dunham,,"George William Dunham (born June 28, 1965); is an American radio personality and member of the Musers in Dallas, Texas. Dunham co-hosts the show with long-time friend and college roommate Craig Miller, along with their co-host Gordon Keith. A 1988 graduate of the University of North Texas, Dunham served as the football play-by-play commentator for the school's Mean Green Radio Network from 1994 until 2014. His first on-air experience was at KNTU, the University of North Texas campus radio station. His son was offered and accepted a football scholarship to attend UNT beginning in fall of 2010. Dunham talks about his past and playing football in junior high against hated rival Fredericksburg when he played special teams at Llano Junior High. Dunham's junior high football coach commonly refer",TRUE,TRUE,,,
5344,FN,George_Henry_Guilfoyle,birthDate,,1913-11-13,"George Henry Guilfoyle (November 13, 1913 – June 11, 1991) was an American prelate of the Roman Catholic Church. He served as Bishop of Camden from 1968 to 1989.",TRUE,TRUE,,,
5345,FN,George_Henry_Guilfoyle,birthYear,,1913,"George Henry Guilfoyle (November 13, 1913 – June 11, 1991) was an American prelate of the Roman Catholic Church. He served as Bishop of Camden from 1968 to 1989.",TRUE,TRUE,,,
528,FP_new,George_Jung,birthName,George Jacob Jung,,"George Jacob Jung (August 6, 1942 – May 5, 2021), nicknamed Boston George and El Americano, was an American drug trafficker and smuggler. He was a major figure in the United States cocaine trade during the 1970s and early 1980s. Jung and his partner Carlos Lehder smuggled cocaine into the United States for the Colombian Medellín Cartel. Jung was sentenced to 70 years in prison in 1994 on conspiracy charges, but was released in 2014. Jung was portrayed by Johnny Depp in the biopic Blow (2001).",TRUE,TRUE,,,
527,FP_new,George_Jung,label,George Jacob Jung,,"George Jacob Jung (August 6, 1942 – May 5, 2021), nicknamed Boston George and El Americano, was an American drug trafficker and smuggler. He was a major figure in the United States cocaine trade during the 1970s and early 1980s. Jung and his partner Carlos Lehder smuggled cocaine into the United States for the Colombian Medellín Cartel. Jung was sentenced to 70 years in prison in 1994 on conspiracy charges, but was released in 2014. Jung was portrayed by Johnny Depp in the biopic Blow (2001).",TRUE,FALSE,LCE,,
429,FP_new,George_Taliaferro_Ward,birthDate,1810-05-05,,"George Taliaferro Ward (1810 – May 5, 1862) was a major cotton planter and politician from Leon County, Florida. He served in the Confederate Army as a colonel during the American Civil War, dying near Williamsburg, Virginia.",FALSE,FALSE,AC,,
1663,FP_new,George_Taliaferro_Ward,birthDate,1810-10-10,,"George Taliaferro Ward (1810 – May 5, 1862) was a major cotton planter and politician from Leon County, Florida. He served in the Confederate Army as a colonel during the American Civil War, dying near Williamsburg, Virginia.",FALSE,FALSE,AC,,
2178,FP_new,George_Taliaferro_Ward,birthDate,1810-10-05,,"George Taliaferro Ward (1810 – May 5, 1862) was a major cotton planter and politician from Leon County, Florida. He served in the Confederate Army as a colonel during the American Civil War, dying near Williamsburg, Virginia.",FALSE,FALSE,AC,,
431,FP_new,George_Taliaferro_Ward,birthYear,1810,,"George Taliaferro Ward (1810 – May 5, 1862) was a major cotton planter and politician from Leon County, Florida. He served in the Confederate Army as a colonel during the American Civil War, dying near Williamsburg, Virginia.",TRUE,TRUE,,,
430,FP_new,George_Taliaferro_Ward,deathDate,1862-05-05,,"George Taliaferro Ward (1810 – May 5, 1862) was a major cotton planter and politician from Leon County, Florida. He served in the Confederate Army as a colonel during the American Civil War, dying near Williamsburg, Virginia.",TRUE,TRUE,,,
432,FP_new,George_Taliaferro_Ward,deathYear,1862,,"George Taliaferro Ward (1810 – May 5, 1862) was a major cotton planter and politician from Leon County, Florida. He served in the Confederate Army as a colonel during the American Civil War, dying near Williamsburg, Virginia.",TRUE,TRUE,,,
4989,FP_new,George_W%2E_Jenkins,label,George Washington Jenkins,,"George Washington Jenkins Jr. (September 29, 1907 – April 8, 1996) was an American businessman, who founded Publix Super Markets. As of 2016, the employee-owned, privately held corporation included 1,100 stores in the Southeastern United States with 170,000 employees and sales of $32 billion. Jenkins was known as ""the state's largest commercial employer and head of a chain of stores that was a leader in introducing many innovations, including electric-eye doors and frozen food cases.""",TRUE,FALSE,LCE,,
146,FP_new,Georges_Cabanier,birthDate,1906-11-21,,"Admiral Georges Cabanier (21 November 1906 – 26 October 1976) was a French Naval Officer and Admiral, in addition to Grand Chancellor of the Legion of Honour.",TRUE,TRUE,,,
761,FP_new,Georges_Cabanier,birthName,Georges Cabanier,,"Admiral Georges Cabanier (21 November 1906 – 26 October 1976) was a French Naval Officer and Admiral, in addition to Grand Chancellor of the Legion of Honour.",TRUE,TRUE,,,
148,FP_new,Georges_Cabanier,birthYear,1906,,"Admiral Georges Cabanier (21 November 1906 – 26 October 1976) was a French Naval Officer and Admiral, in addition to Grand Chancellor of the Legion of Honour.",TRUE,TRUE,,,
147,FP_new,Georges_Cabanier,deathDate,1976-10-26,,"Admiral Georges Cabanier (21 November 1906 – 26 October 1976) was a French Naval Officer and Admiral, in addition to Grand Chancellor of the Legion of Honour.",TRUE,TRUE,,,
149,FP_new,Georges_Cabanier,deathYear,1976,,"Admiral Georges Cabanier (21 November 1906 – 26 October 1976) was a French Naval Officer and Admiral, in addition to Grand Chancellor of the Legion of Honour.",TRUE,TRUE,,,
547,FP_new,Georgy_Fyodorov,birthYear,1926,,Georgy Fyodorov (born 1926) was a Soviet athlete. He competed in the men's shot put at the 1952 Summer Olympics.,TRUE,TRUE,,,
525,FP_new,Gerhard_Meyer-Schwickerath,birthName,Gerhard Rudolph Edmund Meyer-Schwickerath,,"Gerhard Rudolph Edmund Meyer-Schwickerath (10 July 1920 – 20 January 1992) was a German ophthalmologist, university lecturer and researcher. He is known as the father of light coagulation which was the predecessor to many eye surgeries.",TRUE,TRUE,,,
595,FP_new,Germain_Fried,birthName,Baruch Fried,,"Baruch Fried, known as Germain Fried (15 March 1905 – 27 November 1963) was a French writer, film editor, film director and scriptwriter. He coauthored several books with Ernest Fornairon.",TRUE,TRUE,,,
594,FN,Germain_Fried,label,,Germain Fried,"Baruch Fried, known as Germain Fried (15 March 1905 – 27 November 1963) was a French writer, film editor, film director and scriptwriter. He coauthored several books with Ernest Fornairon.",TRUE,TRUE,,,
845,FP_new,Germaine_Michel,birthName,Germaine Michel,,Germaine Michel (7 November 1892 – 9 January 1976) was a French stage and film actress. She was born in Paris and died in Clichy-la-Garenne.,TRUE,TRUE,,,
46,FP_new,Gertrude_Herzfeld,birthName,Gertrude Marian Amalia Herzfeld,,"Gertrude Marian Amalia Herzfeld (1 June 1890 – 12 May 1981) was an English surgeon, one of the first female surgeons to work in Scotland and the first woman paediatric surgeon. The second female fellow of the Royal College of Surgeons Edinburgh, and the first practicing female fellow, Herzfeld chaired the Edinburgh city branch of the British Medical Association from 1960 to 1962, and was National President of the Medical Women's Federation from 1948 to 1950.",TRUE,TRUE,,,
1054,FP_new,Gilbert_Rozon,birthName,Gilbert Rozon,,"Gilbert Rozon (born October 26, 1954) is a Canadian impresario and founder of the Just for Laughs (French: Juste pour Rire) comedy festival, which he created on July 14, 1983. He is also responsible for the development and international deployment of the Just for Laughs/Juste pour Rire brand in over 150 countries. The Just for Laughs festival is considered the largest comedy festival in the world.",TRUE,TRUE,,,
1549,FP_new,Gill_family_disappearance,birthDate,2002-01-13,,"The Gill family disappearance occurred on January 13, 2002, in the Entre Ríos Province, Argentina. The six members of this family vanished without a trace, and their whereabouts remain unknown. This case has been characterized as ""mysterious"" by much of the press and those involved in it. The family lived on the La Candelaria estancia, where Rubén Gill and his wife Margarita worked as landlords and in various local jobs. The estancia, around 500 hectares, is located in the town of Crucecitas Séptimas, 50 km from Paraná, the provincial capital, and belonged to Alfonso Goette.",TRUE,TRUE,,,
1550,FP_new,Gill_family_disappearance,birthYear,2002,,"The Gill family disappearance occurred on January 13, 2002, in the Entre Ríos Province, Argentina. The six members of this family vanished without a trace, and their whereabouts remain unknown. This case has been characterized as ""mysterious"" by much of the press and those involved in it. The family lived on the La Candelaria estancia, where Rubén Gill and his wife Margarita worked as landlords and in various local jobs. The estancia, around 500 hectares, is located in the town of Crucecitas Séptimas, 50 km from Paraná, the provincial capital, and belonged to Alfonso Goette.",TRUE,TRUE,,,
288,FP_different,Gill_family_disappearance,label,Gill Family,Gill family disappearance,"The Gill family disappearance occurred on January 13, 2002, in the Entre Ríos Province, Argentina. The six members of this family vanished without a trace, and their whereabouts remain unknown. This case has been characterized as ""mysterious"" by much of the press and those involved in it. The family lived on the La Candelaria estancia, where Rubén Gill and his wife Margarita worked as landlords and in various local jobs. The estancia, around 500 hectares, is located in the town of Crucecitas Séptimas, 50 km from Paraná, the provincial capital, and belonged to Alfonso Goette.",TRUE,FALSE,,,
4143,FP_different,Gill_family_disappearance,label,Gill Family Disappearance,Gill family disappearance,"The Gill family disappearance occurred on January 13, 2002, in the Entre Ríos Province, Argentina. The six members of this family vanished without a trace, and their whereabouts remain unknown. This case has been characterized as ""mysterious"" by much of the press and those involved in it. The family lived on the La Candelaria estancia, where Rubén Gill and his wife Margarita worked as landlords and in various local jobs. The estancia, around 500 hectares, is located in the town of Crucecitas Séptimas, 50 km from Paraná, the provincial capital, and belonged to Alfonso Goette.",TRUE,FALSE,TMI,,
3744,FP_new,Gisela_Jo%C3%A3o,alias,Gomes Remelho,,"Gisela Joao Gomes Remelho (born November 6, 1983 in Barcelos) is a Portuguese fado singer. The album Gisela João was number one in Portugal and was Ípsilon/Público's and Blitz's record of the year.",TRUE,FALSE,WV,,
425,FP_different,Gisela_Jo%C3%A3o,label,Gisela Joao Gomes Remelho,Gisela João,"Gisela Joao Gomes Remelho (born November 6, 1983 in Barcelos) is a Portuguese fado singer. The album Gisela João was number one in Portugal and was Ípsilon/Público's and Blitz's record of the year.",TRUE,FALSE,LCE,,
1091,FP_different,Gisela_Jo%C3%A3o,label,Gisela Joao,Gisela João,"Gisela Joao Gomes Remelho (born November 6, 1983 in Barcelos) is a Portuguese fado singer. The album Gisela João was number one in Portugal and was Ípsilon/Público's and Blitz's record of the year.",TRUE,FALSE,TMI,,
404,FP_new,Giuseppina_Morlacchi,birthName,Giuseppina Antonia,,"Giuseppina Antonia ""Josephine"" Morlacchi Omohundro (October 8, 1836 – July 23, 1886) was an Italian American ballerina, dancer, and actress. She introduced the can-can to the American stage.",TRUE,FALSE,ICE,,
403,FP_new,Giuseppina_Morlacchi,label,Giuseppina Antonia,,"Giuseppina Antonia ""Josephine"" Morlacchi Omohundro (October 8, 1836 – July 23, 1886) was an Italian American ballerina, dancer, and actress. She introduced the can-can to the American stage.",TRUE,FALSE,WV,,
109,FP_new,Glen_Fisiiahi,birthDate,1990-12-02,,Glen Fisiiahi (born 2 December 1990) is a rugby league and rugby union footballer of Tongan and Niue descent. He previously played rugby league professionally for the New Zealand Warriors in the National Rugby League where he played as a fullback and wing and has represented the Tonga international rugby league team.,TRUE,TRUE,,,
110,FP_new,Glen_Fisiiahi,birthYear,1990,,Glen Fisiiahi (born 2 December 1990) is a rugby league and rugby union footballer of Tongan and Niue descent. He previously played rugby league professionally for the New Zealand Warriors in the National Rugby League where he played as a fullback and wing and has represented the Tonga international rugby league team.,TRUE,TRUE,,,
3693,FP_new,Gordie_Johnson,alias,Gordie Johnson,,"Gordie Johnson (born 22 May 1964) is a Canadian musician, best known as the front man for the blues/reggae rock band Big Sugar, Austin-based blues/gospel band Sit Down Servant, and southern rock band Grady.",TRUE,TRUE,,,
373,FP_new,Gordie_Johnson,birthDate,1964-05-22,,"Gordie Johnson (born 22 May 1964) is a Canadian musician, best known as the front man for the blues/reggae rock band Big Sugar, Austin-based blues/gospel band Sit Down Servant, and southern rock band Grady.",TRUE,TRUE,,,
374,FP_new,Gordie_Johnson,birthYear,1964,,"Gordie Johnson (born 22 May 1964) is a Canadian musician, best known as the front man for the blues/reggae rock band Big Sugar, Austin-based blues/gospel band Sit Down Servant, and southern rock band Grady.",TRUE,TRUE,,,
2017,FN,Grady_Sutton,birthName,,Grady Harwell Sutton,"Grady Harwell Sutton (April 5, 1906 – September 17, 1995) was an American film and television character actor from the 1920s to the 1970s. He appeared in more than 180 films.",TRUE,TRUE,,,
349,FP_new,Graham_Kinniburgh,birthName,Graham Allen Kinniburgh,,"Graham Allen Kinniburgh (20 October 1942 – 13 December 2003) was an Australian organised crime figure from Kew, a suburb of Melbourne. He became a victim of the Melbourne gangland killings, which were dramatised in the drama series Underbelly.",TRUE,TRUE,,,
455,FN,Green_Wix_Unthank,birthName,,Green Wix Unthank,"Green Wix Unthank (June 14, 1923 – June 25, 2013) was an American attorney and United States District Judge of the United States District Court for the Eastern District of Kentucky, from 1980 to 1988, when he took senior status. A veteran of World War II, he went to college and to law school after the war. He served as a judge of Harlan County Court, had a private practice for several years, and also served as an Assistant United States Attorney for the Eastern District of Kentucky.",TRUE,TRUE,,,
1494,FP_different,Greg_Ballard,birthName,Greg Alan Ballard,Gregory Alan Ballard,"Gregory Alan Ballard (born November 20, 1954) is an American politician, author, and businessman who served as the 48th mayor of Indianapolis, Indiana. He is a retired Lieutenant Colonel from the United States Marine Corps. On November 6, 2007, he defeated two-term incumbent Democratic Mayor Bart Peterson by 51% to 47%. It was described as one of the biggest upsets in the political history of Indiana. He was re-elected to the position in 2011 by the same margin.",FALSE,FALSE,ICE,,
4597,FN,Greg_Ballard,birthName,,Gregory Alan Ballard,"Gregory Alan Ballard (born November 20, 1954) is an American politician, author, and businessman who served as the 48th mayor of Indianapolis, Indiana. He is a retired Lieutenant Colonel from the United States Marine Corps. On November 6, 2007, he defeated two-term incumbent Democratic Mayor Bart Peterson by 51% to 47%. It was described as one of the biggest upsets in the political history of Indiana. He was re-elected to the position in 2011 by the same margin.",TRUE,TRUE,,,
933,FN,Greg_Laurie,birthDate,,1952-12-10,"Greg Laurie (born December 10, 1952) is an American author and pastor who serves as the senior pastor of Harvest Christian Fellowship with campuses in Riverside, Orange County and Maui. Laurie came to faith at the age of 17 as the Jesus Movement was exploding in Southern California. He has written a book, “Jesus Revolution,” about his experiences from that great American spiritual awakening. Greg’s story along with his wife Cathe, will be told in the new film, Jesus Revolution from Kingdom Story Company will be released in theaters nationwide on February 24, 2023.",TRUE,TRUE,,,
934,FN,Greg_Laurie,birthYear,,1952,"Greg Laurie (born December 10, 1952) is an American author and pastor who serves as the senior pastor of Harvest Christian Fellowship with campuses in Riverside, Orange County and Maui. Laurie came to faith at the age of 17 as the Jesus Movement was exploding in Southern California. He has written a book, “Jesus Revolution,” about his experiences from that great American spiritual awakening. Greg’s story along with his wife Cathe, will be told in the new film, Jesus Revolution from Kingdom Story Company will be released in theaters nationwide on February 24, 2023.",TRUE,TRUE,,,
225,FN,Greg%C3%B3rio_Bondar,birthName,,Gregório Gregorievitch Bondar,"Gregório Gregorievitch Bondar (1881 – 1959) was a Ukrainian-Brazilian agronomist and entomologist that greatly contributed to Brazilian Entomology. In honor of his contributions, an agricultural research station was created in Belmonte, Bahia and named after him.",TRUE,TRUE,,,
226,FP_new,Greg%C3%B3rio_Bondar,deathYear,1959,,"Gregório Gregorievitch Bondar (1881 – 1959) was a Ukrainian-Brazilian agronomist and entomologist that greatly contributed to Brazilian Entomology. In honor of his contributions, an agricultural research station was created in Belmonte, Bahia and named after him.",TRUE,TRUE,,,
224,FP_new,Greg%C3%B3rio_Bondar,label,Gregório Gregorievitch Bondar,,"Gregório Gregorievitch Bondar (1881 – 1959) was a Ukrainian-Brazilian agronomist and entomologist that greatly contributed to Brazilian Entomology. In honor of his contributions, an agricultural research station was created in Belmonte, Bahia and named after him.",TRUE,FALSE,LCE,,
341,FP_new,Gridley_J%2E_F%2E_Bryant,birthName,Gridley James Fox Bryant,,"Gridley James Fox Bryant (August 29, 1816 – June 8, 1899), often referred to as G. J. F. Bryant, was a Boston architect, builder, and industrial engineer whose designs ""dominated the profession of architecture in [Boston] and New England."" One of the most influential architects in New England, he designed custom-made houses, government buildings, churches, schoolhouses, and private residences across the United States, and was popular among the Boston elite. His most notable designs are foundational buildings on numerous campuses across the northeastern United States, including Tufts College, Bates College, and Harvard College. He has been credited as one of the first modern architects in America, and at the height of his career he was the most commissioned architect in New England. He is a",TRUE,TRUE,,,
472,FN,Guido_Torzilli,birthName,,Guido Torzilli,"Guido Torzilli is an Italian liver surgeon from Milan, known for his surgical and scientific activities in the field of precision surgery for malignant liver tumors.",TRUE,TRUE,,,
474,FP_new,Guillermina_Uribe_Bone,deathDate,2018-10-11,,"Guillermina Uribe Bone (1920 - 11 October 2018) was a civil engineer and the first woman to receive a degree in civil engineering from the Faculty of Mathematics and Engineering of the National University of Colombia in Bogotá, graduating on 18 December 1948.",FALSE,TRUE,,,
406,FP_new,Gustav_A%2E_Hedlund,birthName,Gustav Arnold Hedlund,,"Gustav Arnold Hedlund (May 7, 1904 – March 15, 1993), an American mathematician, was one of the founders of symbolic and topological dynamics.",TRUE,TRUE,,,
407,FP_new,Gustav_A%2E_Hedlund,deathDate,1993-03-15,,"Gustav Arnold Hedlund (May 7, 1904 – March 15, 1993), an American mathematician, was one of the founders of symbolic and topological dynamics.",TRUE,TRUE,,,
408,FP_new,Gustav_A%2E_Hedlund,deathYear,1993,,"Gustav Arnold Hedlund (May 7, 1904 – March 15, 1993), an American mathematician, was one of the founders of symbolic and topological dynamics.",TRUE,TRUE,,,
54,FP_new,Gustav-Georg_Knabe,birthDate,1897-07-08,,Gustav-Georg Knabe (8 July 1897 – 13 December 1972) was a general in the Wehrmacht of Nazi Germany during World War II. He was a recipient of the Knight's Cross of the Iron Cross.,TRUE,TRUE,,,
56,FP_new,Gustav-Georg_Knabe,birthYear,1897,,Gustav-Georg Knabe (8 July 1897 – 13 December 1972) was a general in the Wehrmacht of Nazi Germany during World War II. He was a recipient of the Knight's Cross of the Iron Cross.,TRUE,TRUE,,,
55,FP_new,Gustav-Georg_Knabe,deathDate,1972-12-13,,Gustav-Georg Knabe (8 July 1897 – 13 December 1972) was a general in the Wehrmacht of Nazi Germany during World War II. He was a recipient of the Knight's Cross of the Iron Cross.,TRUE,TRUE,,,
